25460,3,3104.0,1.0,589,1.0,188,1.0,2.77,3.0,1,3.0,188.0,1.0,589,1.0,0,1,33.0,1.0,5,1.0,0,1
25460,3,3162.0,2.0,147,3.0,36,3.0,3.47,1.0,2,2.0,18.0,3.0,65,3.0,0,1,10.7,2.0,1,2.0,0,0
25460,3,3597.0,3.0,372,2.0,88,2.0,3.42,2.0,3,1.0,29.33,2.0,128,2.0,0,1,7.9,3.0,0,3.0,0,0
73988,4,101.0,1.0,404,3.0,111,3.0,3.08,4.0,4,2.0,27.75,3.0,155,2.0,0,1,26.7,2.0,2,1.0,0,1
73988,4,3149.0,2.0,191,4.0,44,4.0,3.61,1.0,2,4.0,22.0,4.0,80,3.0,0,1,15.8,4.0,1,2.0,0,0
73988,4,20101.0,3.0,762,1.0,184,1.0,3.43,2.0,5,1.0,36.8,2.0,48,4.0,0,1,25.9,3.0,0,3.5,0,0
73988,4,21686.0,4.0,461,2.0,121,2.0,3.2,3.0,3,3.0,40.33,1.0,232,1.0,0,1,30.6,1.0,0,3.5,0,0
79856,9,83.0,1.0,22,9.0,13,9.0,1.69,9.0,1,6.5,13.0,9.0,22,9.0,0,1,20.2,5.0,1,3.0,0,0
79856,9,105.0,2.0,136,6.0,36,6.0,3.19,2.0,1,6.5,36.0,6.0,136,4.0,0,1,10.7,7.0,0,7.0,0,0
79856,9,142.0,3.0,32,8.0,14,8.0,2.07,7.0,1,6.5,14.0,8.0,32,8.0,0,1,9.6,8.0,1,3.0,0,0
79856,9,151.0,4.0,489,4.0,114,5.0,3.83,1.0,3,2.0,38.0,5.0,66,7.0,0,1,16.6,6.0,3,1.0,1,1
79856,9,1624.0,5.0,118,7.0,33,7.0,2.97,3.0,1,6.5,33.0,7.0,118,6.0,0,1,9.1,9.0,1,3.0,0,0
79856,9,3447.0,6.0,691,3.0,229,3.0,2.61,5.0,2,3.0,114.5,3.0,371,3.0,0,1,23.4,4.0,0,7.0,0,0
79856,9,30436.0,7.0,791,2.0,259,2.0,2.64,4.0,1,6.5,259.0,1.0,791,1.0,0,1,43.1,1.0,0,7.0,0,0
79856,9,46650.0,8.0,1047,1.0,347,1.0,2.42,6.0,5,1.0,69.4,4.0,124,5.0,0,1,32.7,3.0,0,7.0,0,0
79856,9,67742.0,9.0,412,5.0,161,4.0,1.96,8.0,1,6.5,161.0,2.0,412,2.0,0,1,34.2,2.0,0,7.0,0,0
